DÍA 1;;;;;;DÍA 2;;;;;;DÍA 3;;;;;;DÍA 4;;;;;
Medición 1;;;Medición 2;;;Medición 3;;;Medición 4;;;Medición 5;;;Medición 6;;;Medición 7;;;Medición 8;;
=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;
AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado
309;65.68;MEDIO;302;67.71;MEDIO;240;85.67;EXCESO;257;80.74;OPTIMO;284;72.92;MEDIO;306;66.55;MEDIO;335;58.15;SECO;217;92.33;EXCESO
309;65.68;MEDIO;302;67.71;MEDIO;242;85.09;EXCESO;257;80.74;OPTIMO;284;72.92;MEDIO;307;66.26;MEDIO;335;58.15;SECO;218;92.04;EXCESO
309;65.68;MEDIO;303;67.42;MEDIO;242;85.09;EXCESO;257;80.74;OPTIMO;285;72.63;MEDIO;308;65.97;MEDIO;336;57.86;SECO;216;92.62;EXCESO
310;65.39;MEDIO;303;67.42;MEDIO;243;84.80;OPTIMO;258;80.45;OPTIMO;286;72.34;MEDIO;308;65.97;MEDIO;336;57.86;SECO;217;92.33;EXCESO
309;65.68;MEDIO;302;67.71;MEDIO;244;84.51;OPTIMO;258;80.45;OPTIMO;288;71.77;MEDIO;310;65.39;MEDIO;335;58.15;SECO;216;92.62;EXCESO
310;65.39;MEDIO;303;67.42;MEDIO;244;84.51;OPTIMO;259;80.16;OPTIMO;293;70.32;MEDIO;310;65.39;MEDIO;337;57.57;SECO;216;92.62;EXCESO
310;65.39;MEDIO;303;67.42;MEDIO;245;84.22;OPTIMO;259;80.16;OPTIMO;284;72.92;MEDIO;311;65.10;MEDIO;336;57.86;SECO;216;92.62;EXCESO
309;65.68;MEDIO;304;67.13;MEDIO;245;84.22;OPTIMO;259;80.16;OPTIMO;322;61.92;SECO;311;65.10;MEDIO;337;57.57;SECO;216;92.62;EXCESO
309;65.68;MEDIO;304;67.13;MEDIO;246;83.93;OPTIMO;260;79.87;MEDIO;298;68.87;MEDIO;312;64.81;SECO;336;57.86;SECO;217;92.33;EXCESO
309;65.68;MEDIO;304;67.13;MEDIO;246;83.93;OPTIMO;259;80.16;OPTIMO;297;69.16;MEDIO;314;64.24;SECO;337;57.57;SECO;218;92.04;EXCESO
309;65.68;MEDIO;304;67.13;MEDIO;247;83.64;OPTIMO;260;79.87;MEDIO;297;69.16;MEDIO;314;64.24;SECO;337;57.57;SECO;218;92.04;EXCESO
309;65.68;MEDIO;304;67.13;MEDIO;247;83.64;OPTIMO;260;79.87;MEDIO;299;68.58;MEDIO;315;63.95;SECO;337;57.57;SECO;219;91.75;EXCESO
309;65.68;MEDIO;304;67.13;MEDIO;247;83.64;OPTIMO;261;79.58;MEDIO;300;68.29;MEDIO;316;63.66;SECO;337;57.57;SECO;218;92.04;EXCESO
309;65.68;MEDIO;305;66.84;MEDIO;248;83.35;OPTIMO;261;79.58;MEDIO;311;65.10;MEDIO;316;63.66;SECO;337;57.57;SECO;218;92.04;EXCESO
310;65.39;MEDIO;305;66.84;MEDIO;248;83.35;OPTIMO;262;79.29;MEDIO;313;64.53;SECO;316;63.66;SECO;337;57.57;SECO;218;92.04;EXCESO
310;65.39;MEDIO;305;66.84;MEDIO;248;83.35;OPTIMO;261;79.58;MEDIO;320;62.50;SECO;317;63.37;SECO;338;57.29;SECO;218;92.04;EXCESO
310;65.39;MEDIO;305;66.84;MEDIO;249;83.06;OPTIMO;262;79.29;MEDIO;321;62.21;SECO;318;63.08;SECO;338;57.29;SECO;218;92.04;EXCESO
310;65.39;MEDIO;305;66.84;MEDIO;250;82.77;OPTIMO;262;79.29;MEDIO;325;61.05;SECO;318;63.08;SECO;338;57.29;SECO;218;92.04;EXCESO
310;65.39;MEDIO;305;66.84;MEDIO;250;82.77;OPTIMO;263;79.01;MEDIO;330;59.60;SECO;318;63.08;SECO;338;57.29;SECO;219;91.75;EXCESO
310;65.39;MEDIO;305;66.84;MEDIO;250;82.77;OPTIMO;263;79.01;MEDIO;330;59.60;SECO;319;62.79;SECO;339;57.00;SECO;220;91.46;EXCESO
310;65.39;MEDIO;306;66.55;MEDIO;250;82.77;OPTIMO;263;79.01;MEDIO;330;59.60;SECO;320;62.50;SECO;339;57.00;SECO;220;91.46;EXCESO
310;65.39;MEDIO;306;66.55;MEDIO;251;82.48;OPTIMO;264;78.72;MEDIO;330;59.60;SECO;320;62.50;SECO;339;57.00;SECO;220;91.46;EXCESO
310;65.39;MEDIO;307;66.26;MEDIO;251;82.48;OPTIMO;264;78.72;MEDIO;330;59.60;SECO;321;62.21;SECO;339;57.00;SECO;220;91.46;EXCESO
310;65.39;MEDIO;307;66.26;MEDIO;252;82.19;OPTIMO;264;78.72;MEDIO;330;59.60;SECO;321;62.21;SECO;340;56.71;SECO;222;90.88;EXCESO
310;65.39;MEDIO;306;66.55;MEDIO;252;82.19;OPTIMO;264;78.72;MEDIO;331;59.31;SECO;321;62.21;SECO;340;56.71;SECO;223;90.59;EXCESO
